Table 1
fruit,fruit_pairing,herbspice_pairing,nut_pairing,spirit_pairing,misc_pairing
Honeydew,"Blackberry, cantaloupe, grapefruit, lemon, lime, nectarine, peach, strawberry","Basil, cardamom, coriander, cumin, ginger, mint, tarragon",,Champagne,"Coconut milk, honey"
Kiwi,"Banana, cherry, coconut, grapefruit, lemon, lime, lychee, mango, orange, papaya, passion fruit, pineapple, strawberry",,"Hazelnut, macadamia","Kirsch, rum","Chocolate, honey"
Kumquat,"Coconut, cranberry, date, lemon, lime, mango, orange, papaya, persimmon, pineapple, pomegranate, pumpkin, quince, strawberry","Cayenne, cinnamon, ginger, mace, mint, nutmeg","Hazelnut, pecan, pistachio, walnut","Brandy, rum, white wine","Caramel, chocolate, honey, vanilla"
Lemon,"Apple, apricot, banana, blackberry, blueberry, cherry, coconut, cranberry, date, gooseberry, grapefruit, grape, guava, kiwi, lime, mango, nectarine, orange, papaya, passion fruit, peach, pear, persimmon, plum, prune, quince, raspberry, rhubarb, tangerine","Basil, bay leaf, cardamom, cayenne, cinnamon, ginger, mint, oregano, parsley, poppy seed, rosemary, sage, thyme","Almond, chestnut, hazelnut, pecan, pine nut, pistachio, walnut","Gin, orange liqueur, red wine, rum, vodka","Caramel, chocolate, coffee, crème fraîche, honey, maple syrup, mascarpone, vanilla"
Lime,"Apple, apricot, avocado, coconut, date, gooseberry, grapefruit, guava, honeydew, kiwi, lemon, mango, orange, papaya, passion fruit, plum, raspberry, strawberry, tomato","Cilantro, ginger, mint","Hazelnut, macadamia, peanut, pecan","Rum, tequila, vodka","Caramel, coconut milk, crème fraîche, honey, maple syrup, mascarpone, vanilla, white chocolate"
Lychee,"Blackberry, coconut, honeydew, kiwi, lemon, lime, mango, orange, passion fruit, pear, pineapple, plum, raspberry ",Ginger,,Rum,Honey
Mango,"Apple, avocado, banana, blackberry, blueberry, coconut, grapefruit, kiwi, kumquat, lemon, lime, orange, papaya, passion fruit, pineapple, raspberry, strawberry","Basil, cayenne, cilantro, cinnamon, cloves, ginger, mint, nutmeg, star anise","Almond, cashew, macadamia","Amaretto, champagne, Kirsch, orange liqueur, rum, sake, vodka","Caramel, coconut milk, coffee, crème fraîche, honey, mascarpone, vanilla, white chocolate"
Nectarine,"Apricot, blackberry, blueberry, cherry, cranberry, lemon, orange, peach, plum, raspberry, strawberry","Allspice, cinnamon, ginger, mint, nutmeg","Almond, hazelnut, pecan, pistachio","Brandy, champagne, Kirsch, orange liqueur, peach liqueur, red wine, white wine","Caramel, chocolate, honey, maple syrup, mascarpone, vanilla"
Orange,"Apple, apricot, avocado, banana, blackberry, blueberry, cherry, coconut, cranberry, date, grape, grapefruit, guava, grapefruit, kumquat, lemon, lime, mango, nectarine, papaya, passion fruit, peach, pear, persimmon, pineapple, plum, pomegranate, prune, pumpkin, quince, raspberry, rhubarb, strawberry, tomato","Basil, cardamom, cilantro, cinnamon, cloves, cumin, ginger, mint, nutmeg, paprika, parsley, poppy seed, rosemary, saffron, star anise, thyme","Almond, chestnut, hazelnut, macadamia, pecan, pine nut, pistachio, walnut","Almond liqueur, Amaretto, Armagnac, brandy, cognac, Kirsch, orange liqueur, red wine, rum, tequila, vodka, white wine","Caramel, chocolate, coffee, grenadine, honey, maple syrup, mascarpone, vanilla"
Papaya,"Banana, coconut, grapefruit, kiwi, kumquat, lemon, lime, mango, nectarine, orange, passion fruit, peach, pineapple, raspberry, strawberry","Cilantro, cinnamon, ginger, mint","Cashew, macadamia, peanut",Port,"Caramel, honey, vanilla, white chocolate"
Passion fruit,"Banana, coconut, kiwi, lemon, lime, mango, orange, papaya, peach, pear, pineapple, strawberry","Cilantro, ginger","Almond, cashew, macadamia","Champagne, Cointreau, ice wine, rum, tequila","Caramel, chocolate, vanilla"
Peach,"Apple, apricot, blackberry, blueberry, cherry, coconut, lemon, lime, nectarines, orange, papaya, passion fruit, pineapple, plum, raspberry, strawberry","Allspice, basil, bay leaf, cinnamon, cloves, ginger, mace, mint, nutmeg, saffron, star anise, tarragon, thyme","Almond, hazelnut, pecan, pistachio, walnut","Bourbon, brandy, Calvados, Cassis, champagne, cognac, Cointreau, Grand Marnier, Kirsch, Madeira, port, red wine, rum, Vin Santo, whiskey, white wine","Brown sugar, caramel, chocolate, crème fraîche, grenadine, honey, maple syrup, mascarpone, molasses, vanilla"
Pear,"Apple, apricot, blackberry, blueberry, cherry, cranberry, date, lemon, orange, passion fruit, prune, quince, raspberry, rhubarb, strawberry","Allspice, basil, cardamom, cinnamon, cloves, ginger, mace, mint, nutmeg, parsley, rosemary, star anise","Almond, chestnut, hazelnut, macadamia, peanut, pecan, pine nut, pistachio, walnut","Bourbon, brandy, Calvados, crème de cassis, champagne, Grand Marnier, kirsch, pear brandy, port, red wine, rum, whiskey","Caramel, chocolate, crème fraîche, honey, maple syrup, mascarpone, vanilla"
Persimmon,"Apple, avocado, grape, kiwi, kumquat, lemon, orange, pear, pomegranate","Cinnamon, cloves, ginger, mace, nutmeg","Almond, cashew, hazelnut, pecan, walnut","Bourbon, brandy, cognac, Kirsch, sweet wine","Caramel, coffee, honey, maple syrup, vanilla, white chocolate"
Pineapple,"Apricot, avocado, banana, coconut, grapefruit, kiwi, kumquat, lemon, lime, mango, orange, papaya, passion fruit, pomegranate, raspberry, strawberry","Allspice, basil, cardamom, cilantro, cinnamon, cloves, ginger, mint, rosemary, saffron, star anise","Cashew, macadamia, pistachio, walnut","Brandy, Cointreau, Grand Marnier, Kirsch, orange liqueur, rum, sweet wine","Caramel, chocolate, honey, maple syrup, vanilla"
Plum,"Apricot, cherry, lemon, nectarine, orange, peach, raspberry, strawberry","Allspice, almond, bay leaf, cardamom, cinnamon, cloves, coriander, ginger, mace, mint, nutmeg, sage, thyme","Hazelnut, pecan, walnut","Brandy, gin, Kirsch, rum, whiskey, red wine, sweet wine","Caramel, crème fraîche, honey, maple syrup, vanilla"
Pomegranate,"Apple, avocado, banana, coconut, grapefruit, kumquat, lemon, lime, orange","Allspice, cardamom, cinnamon, cloves, coriander, cumin, ginger, mint, nutmeg, parsley, turmeric","Almond, hazelnut, pine nut, walnut","Port, tequila, vodka","Honey, white chocolate"
Pumpkin,"Apple, coconut, cranberry, kumquat, lemon, lime, orange","Allspice, bay leaf, cayenne, cilantro, cinnamon, cloves, cumin, ginger, mace, nutmeg, rosemary, sage, thyme","Hazelnut, pecan, pine nut, walnut","Brandy, cognac, orange liqueur, rum, white wine","Caramel, crème fraîche, honey, maple syrup, molasses, vanilla, white chocolate"
Quince,"Apple, cherry, cranberry, date, kumquat, lemon, orange, pear, raspberry","Bay leaf, cardamom, cinnamon, cloves, ginger, nutmeg, star anise","Almond, hazelnut, pecan, pistachio, walnut","Armagnac, brandy, Calvados, red wine, whiskey, white wine","Caramel, honey, maple syrup, mascarpone, vanilla"
Raspberry,"Apricot, blackberry, blueberry, grapefruit, grape, lemon, lime, mango, nectarine, orange, peach, pear, pineapple, plum, quince, rhubarb, strawberry","Cinnamon, cloves, ginger, mint, star anise, thyme","Almond, hazelnut, macadamia, peanut, pecan, pine nut, pistachio","Brandy, champagne, cognac, Cointreau, Framboise, Grand Marnier, Kirsch, orange liqueur, red wine, rum, tequila","Caramel, chocolate, crème fraîche, honey, maple syrup, mascarpone, vanilla"
Rhubarb,"Apple, apricot, blood orange, grapefruit, lemon, lime, nectarine, peach, plum, raspberry, strawberry","Bay leaf, cardamom, cinnamon, cloves, ginger, mint, nutmeg","Almond, hazelnut, pecan","Brandy, Grand Marnier, Kirsch, port, white wine","Caramel, crème fraîche, grenadine, honey, maple syrup, mascarpone, vanilla, white chocolate"
Strawberry,"Apple, apricot, banana, blackberry, blueberry, boysenberry, gooseberry, grape, grapefruit, guava, kumquat, lemon, lime, mango, melon, orange, papaya, passion fruit, peach, pineapple, plum, pomegranate, raspberry, rhubarb","Cardamom, cinnamon, cloves, coriander, ginger, mint, nutmeg","Almond, hazelnut, peanut, pecan, pine nut, pistachio, walnut","Amaretto, brandy, champagne, cognac, elderflower liqueur, Grand Marnier, Kirsch, port, red wine, rosé, rum, sake, sherry, white wine","Caramel, chocolate, crème fraîche, honey, vanilla"
